127.0.0.1 - - [03/Dec/2018:14:09:40 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:21:02 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:21:02 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:21:13 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:21:34 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:21:34 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:22:20 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:22:20 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:22:20 +0900] "GET /CSS/1203/img/display.jpg HTTP/1.1" 200 117328
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:24:14 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:24:14 +0900] "GET /CSS/1203/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:24:14 +0900] "GET /CSS/1203/img/logo.png HTTP/1.1" 200 15627
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:25:03 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:25:03 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:31:11 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:31:11 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:34:07 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:34:07 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:34:37 +0900] "GET /CSS/1203/main.css HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [03/Dec/2018:14:34:40 +0900] "GET /CSS/1203/ex01.html HTTP/1.1" 304 -
